tag,frecuencia
Internacional,238
Javier Milei,162
Derechas,114
Zapping cultural,84
Derechos Humanos,77
UNSAM,67
Chile,65
Feminismos,62
Peronismo,61
Libros,59
24M: Día de la memoria por la verdad y la justicia,52
Brasil,51
Fútbol,48
Elecciones,43
Elecciones 2023,42
Covid-19,39
Cine,37
LGBTIQ+,35
Rosariocronica,34
#NiUnaMenos,31
Estados Unidos,31
Escuela IDAES,30
La Libertad Avanza,27
Rosario,26
Día del Padre,25
Papa Francisco,25
Inteligencia artificial,25
Mundial de fútbol,23
Elecciones legislativas 2021,23
Frente de Todos,23
Sin Control 2,23
Trabajo,22
Música,22
Dictadura,22
Aborto Legal,22
Liberalismo,22
LEDA-UNSAM,22
Redes sociales,21
Democracia,20
Venezuela,19
Violencia policial,19
Donald Trump,19
Poder Judicial,19
Cristina Fernández de Kirchner,19
Violencias,18
Orgullo,18
Laboratorio de No Ficción Creativa,18
Artes,17
Periodismo,17
Series,17
Perfil político,16
Discursos de odio,16
Qatar 2022,16
O sea digamos,16
Israel,15
Rusia,15
8M: Paro internacional y plurinacional de mujeres y disidencias,15
Literatura,15
Narcotráfico,15
Congreso,15
Juntos por el cambio,14
8M,14
Jair Bolsonaro,14
Crisis 2001,14
Teatro,14
Memoria trans,13
Pedro Lemebel,13
Diego Maradona,13
Guerra,13
Movimientos sociales,13
Corrupción,13
2001,13
Ambiente,13
Mitos impuestos,13
Un año de Milei,13
Rossana Reguillo,12
Feria del Libro,12
Mauricio Macri,12
Salud mental,12
Medios de comunicación,12
Netflix,12
Convención Constituyente,12
La transición en Chile,12
Juventudes,12
LGBT,12
Sergio Massa,12
Seguridad,12
Territorio Educativo,12
Malvinas,11
Crisis climática,11
Política,11
Alberto Fernández,11
Patricia Bullrich,11
Messi,11
Universidad pública,11
Boca Juniors,10
Terrorismo de Estado,10
Escuela de Política y Gobierno,10
Memoria,10
Ucrania,10
Justicia,10
Cosas que funcionan,10
Palestina,9
Rock Nacional,9
Indio Solari,9
Fuerzas de seguridad,9
Violencia de género,9
Ciencia,9
Cuidados,9
Masculinidades,9
Cuba,9
Dilma Rousseff,8
Día internacional de la eliminación de la violencia contra las mujeres,8
Religión,8
Racismo en Argentina,8
Lula da Silva,8
COP26,8
Atentado a Cristina,8
Desigualdad,8
México,8
China,8
Colombia,8
España,8
Economía,8
CABA,8
Scaloneta,8
LGBTTINB+,8
Barras bravas,7
Juicios de lesa humanidad,7
FMI,7
Nietos,7
Periodismo narrativo,7
Horacio González,7
Catolicismo,7
#ViajoSola,7
Migración,7
Punitivismo,7
Racismo,7
Estallido en Chile,7
Femicidios,7
#Anfibia10Años,7
Maternidades,7
Violencia,7
Corte Suprema,7
Salud,7
Hijos de represores,6
Religion,6
Abuelas de Plaza de Mayo,6
Fútbol femenino,6
Teletrabajo,6
Especial Chile,6
Deuda,6
Pueblos originarios,6
Tecnología,6
Los Anteúltimos,6
A 20 años del estallido,6
Protesta social,6
Pandemia,6
Progresismo,6
Escuelas,6
Inflación,6
Nueva Constitución,6
Selección Argentina,6
Ni Una Menos,6
Reforma Laboral,6
Abuso sexual,6
Neoliberalismo,6
Karina Milei,6
Plataformas,6
$LIBRA,6
50 años del golpe,6
BA,5
Rodolfo Walsh,5
Drogas,5
Periodismo performático,5
Incendios,5
Dibujos animados,5
Alimentación,5
Futuro Imperfecto,5
Trap,5
Gabriel Boric,5
Educación,5
Premios Oscar,5
Bolivia,5
América Latina,5
Recursos naturales,5
Plaza de Mayo,5
cultura,5
Asociación del Fútbol Argentino,5
Represión,5
Unión por la Patria,5
Crisis,5
Ficción,5
Arte,5
Comedores comunitarios,5
Iglesia Católica,5
violencia institucional,5
Criptogate,5
Dólar,5
Paco Ignacio Taibo II,4
Paraguay,4
Cordobesismo,4
Panama Papers,4
Francia,4
Juan Román Riquelme,4
Charly García,4
Higui,4
2x1 a genocidas,4
Lesa Humanidad,4
Evangélicos,4
Cárceles,4
Carrouselrosario,4
Cuerpos,4
Escuela de Arte y Patrimonio,4
Ecuador,4
Después del virus,4
Negacionismo,4
2001 | UNSAM,4
Historia,4
No ficción,4
Izquierdas,4
Estado,4
Podcast,4
kirchnerismo,4
Duelos,4
Gustavo Petro,4
Rechazo,4
Uruguay,4
Docentes,4
Jujuy,4
Crónica,4
Cambio climático,4
Capitalismo,4
Incendios forestales,4
Pobreza,4
Misiones,4
PRO,4
Federalismo,4
Marcha Universitaria,4
Axel Kicillof,4
Encuentro Anfibio,3
Lectura Mundi,3
Alejandro Sabella,3
Partido republicano,3
Exilio,3
Sindicalismo,3
Performance,3
Antipolítica,3
Perú,3
YouTube,3
Influencers,3
Alemania,3
Conflictos territoriales,3
Transición energética,3
Impuesto a las grandes riquezas,3
Fotografía,3
Fotoperiodismo,3
UCR,3
Comunicación política,3
HBO,3
Amor,3
Pedro Almodóvar,3
Pantallas,3
Muerte,3
Buenos Aires,3
AMIA,3
Francia Márquez,3
Lawfare,3
Chile Convención Constituyente Internacional,3
Italia,3
Horacio Rodríguez Larreta,3
La columna de Zambra,3
Maradona,3
Madres de Plaza de Mayo,3
Tecnologías,3
crimen,3
Televisión,3
CFK,3
Glosario de la crisis,3
Patagonia,3
El Salvador,3
La Conversa,3
Pop,3
Globos de Oro,3
Juan Grabois,3
Litio,3
Mundial femenino de fútbol,3
ARTLAB,3
Arte digital,3
Moria Casán,3
Narrativas,3
Gran Hermano,3
Testosterona,3
Irán,3
Libertarios,3
Apuestas,3
Lionel Messi,3
Ley Bases,3
Jubilados,3
Nicolas Maduro,3
El último rincón de Sudamérica,3
PALANCAS,3
Elon Musk,3
Milei,3
Guerra de aranceles,3
Cine argentino,3
Adolescencia,3
Anticoncepción,3
Maternidad Temprana,3
Salud sexual y reproductiva,3
Desaparecidos,3
Jorge Volpi,2
Fondos buitre,2
VIH,2
Sistema bancario,2
María Eugenia Vidal,2
Clase obrera,2
CGT,2
Grupo Clarín,2
Luis Miguel,2
Roberto Jacoby,2
Anfibia Papel,2
Ca7triel y Paco,2
Pakapaka,2
#BlackLivesMatter,2
Angela Merkel,2
Afectos,2
Infancias,2
Ley de Etiquetado,2
Wanda Nara,2
Identidades no binarias,2
Amazon Prime,2
La Cámpora,2
Conurbano,2
Daniel Ortega,2
Nicaragua,2
Gastronomía,2
Archivo,2
Libertad de expresión,2
Estallido,2
A 20 años del 2001,2
Mariana Enríquez,2
Onlyfans,2
Homicidios,2
Nahir Galarza,2
Vacunas,2
Botánica,2
Premio Alfaguara,2
Audiencias,2
Hegemonía,2
Identidad Trans,2
Boric,2
Eduardo Duhalde,2
Capitalismo digital,2
Folklore,2
G20,2
Lenguaje inclusivo,2
Calentamiento global,2
Océanos,2
Martín Guzmán,2
Cristina,2
Géneros,2
Hebe de Bonafini,2
Discapacidad,2
Alejandro Zambra,2
Perfil,2
Vialidad,2
IrinaKaramanos,2
gabrielboric,2
Fernando Báez Sosa,2
Sacrificadas,2
Adolescencias,2
Medioambiente,2
Fito Páez,2
Alquileres,2
Música electrónica,2
Espionaje,2
Escritura,2
Barrio Carcova,2
Suicidios,2
Opus Dei,2
Santa Fe,2
Policiales,2
Energía nuclear,2
ESMA,2
Agua,2
FILBA,2
Naturaleza,2
Autismo,2
Arte Ciencia y Tecnoceno,2
Bahía Blanca,2
DNU,2
Ley Omnibus,2
Ley Ómnibus,2
Provincias,2
Victoria Villarruel,2
Tucumán,2
Medio Oriente,2
Laboratorio de Periodismo Performático,2
Ciberludopatía,2
Empleo,2
America Latina,2
transporte,2
Jorge Macri,2
Di María,2
Kamala Harris,2
Partido demócrata,2
IA,2
Amplify,2
Mutek,2
artesdigitales,2
Derecha,2
Guayana Francesa,2
tendencias,2
Minería,2
Papa León XIV,2
TV,2
Fallo contra CFK,2
Femicidio,2
energía,2
Carlos Saúl Menem,2
Menemismo,2
gobernadores,2
fascismo,2
Chat GPT,2
Adicciones,2
Aborto,2
criptomonedas,2
Crimen de odio,2
Trump,2
Vaca Muerta,2
Casa Rosada,2
gobierno,2
Futuro Imperfecto Vol 3,2
Festival Anfibio,2
Univerdisad,2
Mundial 2026,2
Juan Pablo Meneses,1
Nueva Anfibia,1
Comunidad Anfibia,1
La Casona Iluminada,1
Teatro Bombón,1
Nancy Fraser,1
Kartun,1
Teatro del Pueblo,1
Terrenal,1
Randazzo,1
Tango,1
embajada de australia,1
noel campbell,1
Costa Salguero,1
Moda y medios,1
Periodismo gastronómico,1
Brexit,1
marta dillon,1
Quiniela,1
Marielle Franco,1
Mayo francés,1
Clases medias,1
Lenguajes,1
Astrología,1
Lavagna,1
Apropiación cultural,1
Natalia Oreiro,1
Río Tercero,1
Wall Street,1
Crónicas,1
Instagram,1
Juegos olímpicos,1
Epistemología,1
Testimonios,1
Espionaje ilegal,1
Filtraciones,1
Pandora Papers,1
Terapias alternativas,1
Mercados ilegales,1
Constitución,1
Estado laico,1
Gordoodio,1
Basta Chicos,1
Mediáticos,1
Luis Majul,1
San Martín,1
La Matanza,1
Hidrógeno verde,1
Frente de Izquierda,1
Noche queer,1
Elites,1
Corea del Sur,1
K-pop,1
Vih/Sida,1
Regresividad impositiva,1
Palito Ortega,1
Videla,1
Beca Cosecha Anfibia,1
Cumbia villera,1
Piñera,1
Feminismos afro,1
bell hooks,1
Vivienda,1
Novela gráfica,1
Pensamiento crítico,1
Cortes de luz,1
Energía eléctrica,1
Tarifas,1
Alfredo Yabrán,1
Caso Cabezas,1
Pinamar,1
Polarización política,1
Honduras,1
Xiomara Castro,1
Euphoria,1
Zendaya,1
Moda,1
Visual,1
Amistad,1
Sex and the City,1
Luis Alberto Spinetta,1
Plan Qunita,1
Campo de Mayo,1
Nueva Ruta de la Seda,1
Desarrollo,1
Putin,1
Sociología Política,1
Futuro Anfibio,1
Lady Di,1
Humor,1
Roast,1
Will Smith,1
Submarinos,1
Murakami,1
Tanatopraxia,1
Cocaína adulterada,1
Prohibicionismo,1
Batman,1
TikTok,1
Alfabetismos aumentados,1
Derecho a la desconexión,1
Migraña,1
Censo,1
identidad de género,1
Gas,1
Oficialismo,1
Embajada de Israel,1
Zapatistas,1
Tecnoceno,1
Carbono,1
Feminismo negro,1
Interseccionalidad,1
Silvina Batakis,1
Santiago Maldonado,1
Precios,1
Gabriela Mistral,1
Disidencias sexuales,1
Fotos,1
Plebiscito de salida,1
Partidos políticos,1
Better Call Saul,1
Breaking Bad,1
Consumo responsable,1
Humedales,1
Soledad Acuña,1
Giorgia Meloni,1
Instituto LLILAS,1
Monterrey,1
Sequía,1
Anabólicos,1
Cuerpo,1
Varones gays,1
Valerie Solanas,1
Game of Thrones,1
House of the Dragon,1
Cecilia Vicuña,1
TERF,1
cancelación,1
furia travesti,1
Bolaño,1
Pep,1
PreP,1
varones gay,1
Resiliencia,1
Zambra,1
Clarín,1
Gobierno Abierto,1
Participación ciudadana,1
Pelé,1
Viajes,1
Rugby,1
Tecnología y sociedad,1
Cristina Dorador,1
Zonas de sacrificio,1
Juicio a las Juntas,1
Puerto Madryn,1
Aníbal Fernández,1
DEA,1
Crónica Patagónica,1
Steven Spielberg,1
Rugbiers,1
Terremoto,1
Valdivia,1
Chilenidad,1
Ailton Krenak,1
Oscars,1
Puchuncaví,1
Pedro Pascal,1
The last of us,1
Pizarnik,1
Sergio Berni,1
violencia narco,1
Reproducción asistida,1
Inquilinxs,1
7M,1
Holocausto,1
Fiesta anfibia,1
Cupo laboral trans,1
Encuesta De qué viven,1
Wado de Pedro,1
Filosofía,1
LSD,1
Guatemala,1
Paternidades,1
Depresión,1
Argentina,1
Barbie,1
Aira,1
Palermo,1
Marxismo,1
Lanús,1
Folclore,1
avina,1
chilemixto,1
arteba,1
Revolución Federal,1
Shakespeare,1
BRICS,1
Archivos Puga,1
Ambientalismo,1
PASO,1
Esquizofrenia,1
Mario Wainfeld,1
Trasplante de órganos,1
ARA San Juan,1
Plástico,1
Tecnologías de género,1
El País,1
Arroyos urbanos,1
Mapas sonoros,1
Ríos entubados,1
Proceso Constituyente,1
Socialismo,1
Ilustraciones,1
Fe,1
Laboratorio Periodismo Performàtico,1
Bosque,1
Bukele,1
Sebastián Piñera,1
Ciudad Futura,1
Noche,1
Incendio,1
Nocturnidad,1
Gabriel García Márquez,1
Patrimonio Cultural,1
menopausia,1
reality,1
Crisiis climática,1
Discurso,1
Iran,1
Libertad,1
Animales,1
Copia,1
Galpon FACE,1
Marcos Peña,1
Antisemitismo,1
Hongos,1
Paro General,1
Homofobia,1
Visibilidad lésbica,1
Fuerzas armadas,1
Serivicio militar,1
Nazismo,1
ferrocarriles,1
trenes,1
trenes argentinos,1
Llaryora,1
Pacto de Mayo,1
Claudia Sheinbaum,1
Tenis,1
Nacionalismo,1
Economía Popular,1
Mexico,1
RIGI,1
Masacre de Avellaneda,1
Movimiento Piquetero,1
Corrientes,1
Desapariciones,1
Evo Morales,1
Caparros,1
Mercado Libre,1
Contracultura,1
Danza,1
Melisa Zulberti,1
Movimiento,1
Posguerra,1
Patriarcado,1
Agronegocios,1
Campo,1
Retenciones,1
Escrituras autobiográficas,1
Imprenteros,1
Juegos Olímpicos Paris 2024,1
Crueldad,1
Vínculos,1
Feria del Libro Rosario,1
AFJP,1
Populismo,1
Presupuesto 2025,1
Transgénicos,1
BritishCouncil,1
mujeres y disidencias,1
Anticomunismo,1
Córdoba,1
Fernanda Miño,1
Género,1
Jerarquías sociales,1
Raza,1
Encuentro Plurinacional de Mujeres,1
Anses,1
Politica exterior,1
Frente Amplio,1
Batalla cultural,1
el ultimo rincon de sudamerica,1
Autista,1
Trastorno del Espectro Autista,1
Nicolás Márquez,1
Surinam,1
#ComunidadAnfibia,1
Azúcar,1
Guyana,1
Futuridades,1
Imaginarios,1
ahoraen,1
energía atómica,1
mascotas,1
natalidad,1
80's,1
Siria,1
CulturaHype,1
Hipersticion,1
Edad de punibilidad,1
Sistema Penal,1
Futuros,1
Hidrovía,1
Inundación,1
Leandro Santoro,1
Lunes negro,1
Cepo,1
Industria textil,1
ApagónEspaña,1
Ceroabsoluto,1
Colapsoenergetico,1
Bruno Stagnaro,1
El Eternauta,1
Radio,1
Inundaciones,1
Océano,1
Servicio Meteorológico Nacional,1
Leonardo Favio,1
3J,1
Ecología,1
Política exterior,1
Movilización,1
Nora Dalmasso,1
YPF,1
ola polar,1
Puente Rosario Victoria,1
obra pública,1
Deuda externa,1
CQF,1
EAAF,1
fentanilo,1
discapacitados,1
policiriss,1
Nepal,1
Embarazos,1
Lo Real Real,1
Triple femicidio,1
Lentitud,1
Carry trade,1
Honoris Causa,1
La Merma,1
Narco,1
Ajuste,1
Bloquons tout,1
Derechos sociales,1
Politicas económicas,1
Denuncias,1
Doble femicidio,1
Falsas denuncias,1
Pablo Lautra,1
Varones unidos,1
Encuestas,1
Beca crónica,1
Canal de Panamá,1
Desplazados,1
Resistencia,1
Migrantes,1
Tesla,1
Universidad de Texas,1
Rosalía,1
Causa Andis,1
financiamiento narco,1
Claudio Tapia,1
Hostigamiento digital,1
Conicet,1
Dillom,1
Horrorcore,1
IAG,1
Nicolás Maduro,1
Inteligencia,1
SIDE,1
Santiago Caputo,1
Turismo,1
Gaza,1
Judaismo,1
Spinoza,1
Violencia cívica,1
La Virgen de la Tosquera,1
Laura Casabé,1
Terror,1
Groenlandia,1
Unión Europea,1
Vladímir Putin,1
Citas,1
